item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.3245762711864408,1.6
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.6987804878048784,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.0714285714285716,
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,3.6166666666666667,
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.1722222222222225,7.0
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.914864864864865,7.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.134782608695652,
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.9,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,7.166666666666667,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,6.454545454545454,
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.85,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,6.08,
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,7.9,
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,6.0,
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,9.0,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.0,
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.403225806451613,
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0,6.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.566666666666666,
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0,
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.2,
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.5448275862068965,
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,4.125,
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.772727272727273,
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,4.116666666666666,
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.625,
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,8.8,
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,10.714285714285714,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,8.5,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,14.25,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,14.0,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,15.0,
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,9.0,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,9.0,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,4.838636363636364,6.0
