item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1157,NASI PUTIH KOSONG,sepinggan,216,0.3679186401280323,215.0,0.366004288660037,0.0019143514679953455,0.005203192388755212
1158,NASI AYAM,sepinggan,96,1.0085549633188506,86.0,0.6615541540711614,0.3470008092476893,0.34405741071940604
1159,NASI LEMAK (BERBUNGKUS),sebungkus,67,0.9061401682536981,64.0,0.6675514961409343,0.2385886721127638,0.26330216943430385
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,110,0.9729776828424301,106.0,0.84964978779775,0.12332789504468011,0.12675305633361847
1161,NASI + SAYUR + IKAN,sepinggan,158,1.3151207359742567,143.0,1.0397022384353636,0.27541849753889314,0.2094244961736231
1162,NASI + SAYUR + AYAM,sepinggan,160,1.0717204893954098,145.0,0.83069006073956,0.24103042865584978,0.2249004577600475
1163,NASI + SAYUR + DAGING,sepinggan,119,1.2271545731444764,111.0,0.9975531079156654,0.22960146522881097,0.1871006882535403
1164,NASI + SAYUR + SOTONG,sepinggan,41,1.7115123108654233,38.0,1.0827366413047532,0.6287756695606701,0.367380161725352
1165,NASI + SAYUR + UDANG,sepinggan,44,1.2171866497709172,39.0,0.9016703647640069,0.3155162850069103,0.25921766810890723
1167,NASI GORENG KAMPUNG,sepinggan,142,0.9575955888354262,131.0,0.8223171648890519,0.13527842394637424,0.14126884618473676
1168,NASI GORENG PAPRIK,sepinggan,112,1.279880946844369,104.0,0.8443724884069181,0.4355084584374509,0.34027263200630165
1169,NASI GORENG CINA,sepinggan,129,0.9627592019854974,116.0,0.721178861673537,0.2415803403119604,0.2509249870723121
1170,NASI GORENG PATAYA,sepinggan,131,1.0477266164559818,123.0,0.9353968924444721,0.11232972401150965,0.10721281892357935
1172,NASI GORENG CILI PADI,sepinggan,93,0.8086416732853469,90.0,0.7402137222159585,0.06842795106938837,0.08462085659199273
1173,NASI GORENG DAGING MERAH,sepinggan,90,1.4614633611743166,84.0,0.9488548825118371,0.5126084786624795,0.35075014008602157
1174,NASI GORENG USA,sepinggan,94,1.5312025768993103,89.0,1.3284849711955886,0.20271760570372166,0.1323911079840431
1175,NASI GORENG AYAM,sepinggan,137,0.9598498433447805,131.0,0.8307415558340315,0.129108287510749,0.13450883844586195
1183,BIHUN GORENG,sepinggan,148,1.2607245397550777,137.0,1.0174850708840286,0.24323946887104908,0.19293625308372556
1184,BIHUN HAILAM,sepinggan,95,1.1102727084469202,89.0,0.9899933450731224,0.12027936337379774,0.10833317117381712
1186,BIHUN TOMYAM,semangkuk,108,1.2688522980940995,102.0,0.9964994058264477,0.2723528922676518,0.21464507151600226
1187,BIHUN BANDUNG,semangkuk,100,1.0446593374460071,93.0,0.8710045357836974,0.17365480166230973,0.1662310338285614
1188,BIHUN LADNA,sepinggan,76,1.0510103743624721,72.0,0.8845703978386312,0.1664399765238409,0.15836187784996986
1189,BIHUN KUNGFU,sepinggan,75,1.078141544134716,70.0,0.8823035913613817,0.19583795277333427,0.1816440093962875
1198,AYAM GORENG,seketul,173,0.8381625542024088,171.0,0.7479981310072695,0.09016442319513929,0.10757391002863316
1199,AYAM MASAK MERAH,seketul,161,0.8512481701624789,155.0,0.7605854028353977,0.09066276732708123,0.10650568248478737
1200,AYAM MASAK KICAP,seketul,145,0.8525306030394297,140.0,0.7783477902782522,0.07418281276117755,0.08701483852509466
1201,AYAM MASAK HALIA,seketul,52,1.0915830451663864,48.0,0.9050684704320513,0.18651457473433508,0.17086613387798202
1202,DAGING MASAK MERAH,sepiring,88,1.791264869529592,84.0,1.316772510760558,0.4744923587690342,0.26489234888732094
1203,DAGING MASAK KICAP,sepiring,106,2.1898770617029775,100.0,1.2000079966063526,0.9898690650966249,0.4520203816039081
1204,DAGING MASAK HALIA,sepiring,66,2.2393909428395466,60.0,1.1510484044463685,1.0883425383931782,0.4859993481143406
1205,DAGING MASAK PAPRIK,sepiring,76,2.3586626451623407,68.0,1.1652263361247015,1.1934363090376392,0.505980077941794
1206,SOTONG GORENG,sepiring,60,2.8794518467675596,54.0,1.523402349013921,1.3560494977536386,0.4709401545561266
1207,SOTONG MASAK MERAH,sepiring,61,3.044703364736042,57.0,1.925215217601713,1.119488147134329,0.367683814489226
1208,SOTONG MASAK KICAP,sepiring,42,2.2355809758654615,37.0,1.2351216642604588,1.0004593116050027,0.4475164721858015
1209,SOTONG MASAK HALIA,sepiring,39,2.0874924745514756,35.0,1.3344183260535518,0.7530741484979238,0.36075538363784104
1210,UDANG GORENG,sepiring,59,3.8694354476862167,53.0,1.7344059518479276,2.135029495838289,0.5517676996304357
1211,UDANG MASAK MERAH,sepiring,58,2.9003931977844633,52.0,1.610058644463725,1.2903345533207382,0.4448826298125344
1212,UDANG MASAK KICAP,sepiring,41,2.462462083402529,38.0,1.5936841917353632,0.8687778916671656,0.352808637145277
1213,UDANG MASAK HALIA,sepiring,37,2.4674304880205264,35.0,1.610365583004173,0.8570649050163535,0.3473511854447117
1214,SAYUR CAMPUR,sepiring,141,2.0248689401845272,132.0,1.573251133873303,0.45161780631122417,0.22303557398142915
1215,SAYUR KAILAN IKAN MASIN,sepiring,90,1.782140558089909,86.0,1.3731771899777683,0.40896336811214073,0.2294787390678466
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,96,1.8877897128652863,91.0,1.4385287898978871,0.44926092296739917,0.23798250403934618
1232,TELUR MATA KERBAU,sebiji,197,0.2938287531282853,183.0,0.22466105029970776,0.06916770282857757,0.23540141014851265
1233,TELUR DADAR,sebiji,190,0.4635535859421452,186.0,0.40151594459428497,0.06203764134786022,0.13383057154389688
1234,TELUR BISTIK,1 set,66,1.6008622385326936,61.0,0.9450677253321483,0.6557945132005453,0.4096508103043448
1235,TELUR SETENGAH MASAK,sebiji,92,0.27729841315429155,87.0,0.21645117077312473,0.060847242381166816,0.21942874352948719
1236,TELUR REBUS,sebiji,119,0.29259483286605,110.0,0.21182908117873606,0.08076575168731392,0.27603273405818657
1237,TELUR MASIN,sebiji,118,0.38172052685939595,113.0,0.3186893394350246,0.06303118742437136,0.16512391393504613
1238,SUP AYAM,semangkuk,135,1.4300332250950045,124.0,1.0235183556172014,0.40651486947780313,0.2842695276893278
1239,SUP DAGING,semangkuk,125,1.4376831720604533,121.0,1.3544000328690977,0.08328313919135555,0.05792871531771227
1240,SUP EKOR,semangkuk,31,2.5445493083836475,31.0,2.5445493083836475,0.0,0.0
1241,SUP CAMPUR,semangkuk,88,2.162226480790571,82.0,1.7837049735595272,0.3785215072310437,0.1750609894910942
1242,TOM YAM CAMPUR,semangkuk,104,2.2711753544507904,93.0,1.5221721149853862,0.7490032394654043,0.3297866181920269
1243,TOM YAM AYAM,semangkuk,117,1.4664913286399375,109.0,1.0183518227657586,0.44813950587417883,0.3055861955145655
1244,TOM YAM DAGING,semangkuk,98,1.5786392337779047,92.0,1.0950366894175594,0.48360254436034533,0.30634139454586895
1245,TOM YAM UDANG,semangkuk,84,2.057230507471649,78.0,1.2700945607080576,0.7871359467635912,0.38261922711373114
1246,TOM YAM SOTONG,semangkuk,78,1.7346813004466308,73.0,1.1192347624948327,0.6154465379517982,0.3547894001009513
1247,MAGGI GORENG,sepinggan,106,1.1457409707118162,96.0,0.8378223391207855,0.3079186315910307,0.2687506508558646
1248,MAGGI SUP,semangkuk,101,1.3427347592370455,93.0,1.1003197716177768,0.24241498761926872,0.1805382529584705
1250,ROTI TELUR,sekeping,58,0.281948324758706,55.0,0.22723636072680717,0.054711964031898846,0.19404961557661976
1252,KUIH LAPIS,sebiji,24,0.10159506863531563,22.0,0.07812743502698719,0.023467633608328445,0.23099185741551653
1253,KUIH SERI MUKA,sebiji,22,0.10298573010888747,19.0,0.0749268649265355,0.02805886518235197,0.27245391330124236
1254,PAU KACANG MERAH,sebiji,10,0.6979334575094612,8.0,0.606953752062591,0.09097970544687028,0.13035584476996787
1255,PAU AYAM,sebiji,7,0.41918287860346315,6.0,0.3444802848737018,0.07470259372976135,0.17821003085488182
1256,PAU KAYA,sebiji,7,0.7276838664721168,5.0,0.6123724356957945,0.11531143077632233,0.15846363522577947
1264,AYAM SOS LEMON,sepiring,9,4.5192489543187495,7.0,1.9241572057347476,2.595091748584002,0.5742307571049041
1265,SOTONG GORENG ASAM,sepiring,10,3.6953424138441564,8.0,2.43394887843955,1.2613935354046064,0.34134686157335437
1266,UDANG BUTTER,sepiring,16,6.541852438975778,14.0,4.646870623700061,1.8949818152757167,0.2896705226772745
1277,SUP IKAN,semangkuk,8,2.0777305613852546,7.0,1.443375672974064,0.6343548884111905,0.30531142978820913
1278,SUP SAYUR MASIN,semangkuk,8,0.8451542547285167,7.0,0.5,0.3451542547285167,0.40839202169003846
1279,PAU DAGING,sebiji,2,0.14142135623730964,,,,
1281,NASI BRIYANI AYAM,sepinggan,10,2.335713072180647,8.0,1.4880476182856894,0.8476654538949575,0.36291506178178295
1282,NASI BRIYANI KAMBING,sepinggan,6,3.4302575219167823,6.0,3.4302575219167823,0.0,0.0
1285,AYAM MASAK KARI,seketul,122,0.8426644184033664,119.0,0.7962801638971283,0.046384254506238065,0.055044752683546756
1289,SUP TULANG,semangkuk,68,2.130337638681929,63.0,1.714043975104463,0.4162936635774661,0.19541205864204375
1290,SUP KAMBING,semangkuk,5,2.2803508501982757,4.0,1.9148542155126762,0.36549663468559945,0.16028087724036835
1291,ROTI PISANG,sekeping,9,0.6710274046399132,8.0,0.5514591035218684,0.11956830111804473,0.17818691202665185
1292,ROTI BAWANG,sekeping,48,0.5174567854639602,42.0,0.3554862858385397,0.16197049962542054,0.3130126112467443
1293,ROTI BOOM,sekeping,27,0.4794346147886591,25.0,0.4011649702221435,0.07826964456651564,0.1632540541550549
1294,RAWA TOSAI,sekeping,1,,1.0,,,
1295,ROTI TISU,sekeping,12,0.4608950449117915,12.0,0.4608950449117915,0.0,0.0
1296,CAPATI,sekeping,2,0.3535533905932738,,,,
1297,Ayam Tandoori,seketul,2,2.1213203435596424,,,,
1298,ROTI BAKAR,1 set,37,0.6902691297396051,35.0,0.512286028298563,0.17798310144104212,0.25784595279262146
1299,MURTABAK AYAM,sekeping,10,1.6938122682280938,8.0,1.2340409810282407,0.45977128719985316,0.27144170332454987
1300,MURTABAK DAGING,sekeping,11,1.859618729251192,9.0,1.488380924957646,0.371237804293546,0.19963113860604717
1301,MURTABAK KAMBING,sekeping,1,,1.0,,,
1307,AIR SUAM,gelas kecil,58,0.07296337411669251,56.0,0.05536185568543619,0.017601518431256326,0.24123772569927604
1309,Kopi Panas,gelas kecil,215,0.3710696370027127,194.0,0.2739344117895778,0.09713522521313495,0.2617708794439164
1311,TEH 'O' LIMAU PANAS,gelas kecil,204,0.4048254647512188,200.0,0.3546092760961947,0.050216188655024085,0.12404404620614445
1312,Teh Panas,gelas kecil,213,0.36982469817315394,204.0,0.3051792214275937,0.06464547674556026,0.17480032313929691
1314,TEH HALIA PANAS,gelas kecil,163,0.44101437128484794,145.0,0.32551609479309723,0.1154982764917507,0.26189231918964206
1315,NESCAFE PANAS,gelas kecil,211,0.39603313977443066,196.0,0.3217723029814506,0.07426083679298007,0.18751167348085301
1317,NESLO PANAS,gelas kecil,205,0.4927392470330677,183.0,0.3745972035576732,0.11814204347539453,0.23976584813725224
1318,HORLICKS PANAS,gelas kecil,166,0.43538453500179525,159.0,0.38120708813068965,0.054177446871105595,0.12443585501005956
1319,MILO PANAS,gelas kecil,216,0.403997840282132,202.0,0.32766509662463633,0.07633274365749565,0.1889434448565088
1320,BARLI PANAS,gelas kecil,135,0.47439350591274276,124.0,0.3359209815543134,0.13847252435842938,0.29189380257641895
1321,MILO 'O' PANAS,gelas kecil,214,0.3878015810362602,199.0,0.3027470123965717,0.08505456863968852,0.21932496616545705
1322,AIR KOSONG,gelas besar,97,0.12183272572843164,96.0,0.09947229183096798,0.022360433897463658,0.18353388848334276
1339,JUS EPAL,segelas,164,0.8155682091742243,158.0,0.7146208080503652,0.10094740112385914,0.12377554689885469
1340,JUS MANGGA,segelas,43,1.140243412065902,39.0,0.8635754067427489,0.27666800532315305,0.24263942452592976
1341,JUS TEMBIKAI,segelas,105,0.9229055091148709,100.0,0.7604431190915842,0.16246239002328666,0.17603361169563192
1343,JUS BELIMBING,segelas,15,0.7549834435270751,14.0,0.7289914755527471,0.025991967974328012,0.034427202605795806
1344,JUS LAICI,segelas,147,0.6992494345292656,142.0,0.6209572073511207,0.07829222717814488,0.11196609294486047
1358,ROTI SARDIN,sekeping,51,0.7839267672879835,48.0,0.6943413635079032,0.08958540378008029,0.11427777123876441
1359,KOPI 'O' PANAS,gelas kecil,217,0.352202733748148,205.0,0.29420677750388485,0.057995956244263125,0.1646664000221381
1360,TEH 'O' PANAS,gelas kecil,219,0.3594613101527222,206.0,0.2944063730276234,0.0650549371250988,0.18097896849443768
1469,NESCAFE ''O'' PANAS,gelas kecil,211,0.38831441378599474,206.0,0.3530500370716543,0.03526437671434046,0.0908139782155373
1728,NASI GORENG BIASA,sepinggan,139,1.0725098336811263,134.0,0.9068660402934902,0.16564379338763613,0.15444501130502883
1729,NASI GORENG SEAFOOD,sepinggan,112,1.2525440648901875,107.0,1.069853491223012,0.18269057366717556,0.14585560603266468
1730,MI GORENG BIASA,sepinggan,153,1.2202965487989648,143.0,0.9948369620742041,0.22545958672476063,0.18475803028916335
1731,MI GORENG MAMAK,sepinggan,98,1.0222539586137762,89.0,0.7760771288396981,0.24617682977407807,0.24081768302262704
1732,MI HAILAM,sepinggan,104,1.1130564664631684,97.0,0.9853850399594795,0.1276714265036889,0.11470345876465345
1733,MI SUP (AYAM/DAGING),semangkuk,144,1.0392519798127302,129.0,0.8080183494827178,0.23123363033001243,0.2225000623734005
1734,MI TOM YAM,semangkuk,107,1.179622581151388,101.0,0.96549376891919,0.21412881223219804,0.18152315465442723
1735,MI BANDUNG,sepinggan,105,1.075663182437366,97.0,0.8936704690301089,0.18199271340725698,0.16919117097126649
1736,MI LADNA,sepinggan,78,1.0634209589170864,73.0,0.8660385851971194,0.19738237371996703,0.18561076125579418
1737,MI KUNGFU,sepinggan,79,1.041755627489809,75.0,0.8574905772602345,0.1842650502295745,0.176879342301779
1738,BIHUN SUP (AYAM/DAGING),semangkuk,146,1.09649783886164,135.0,0.9024731084319279,0.19402473042971213,0.17694948731603918
1739,KUETIAU GORENG BIASA,sepinggan,145,1.235157085888238,136.0,1.0225038685599404,0.21265321732829756,0.17216694115904485
1740,KUETIAU HAILAM,sepinggan,96,1.0372783001344552,91.0,0.9371116615314669,0.10016663860298836,0.09656679272091631
1741,KUETIAU SUP (AYAM/DAGING),semangkuk,134,1.064920231959963,124.0,0.9115495060428451,0.15337072591711798,0.1440208583837706
1742,KUETIAU TOM YAM,semangkuk,106,1.200600703197162,99.0,0.9424536720355059,0.25814703116165605,0.21501489252356643
1743,KUETIAU BANDUNG,semangkuk,97,1.0495662661685718,90.0,0.8683827722847797,0.18118349388379218,0.17262701720130563
1744,KUETIAU LADNA,sepinggan,76,1.0570232947357567,72.0,0.8888447514472222,0.16817854328853454,0.15910580601781077
1745,KUETIAU KUNGFU,sepinggan,74,1.080565246243083,70.0,0.8969709782472368,0.18359426799584622,0.16990576796187742
1746,CHAR KUETIAU,sepinggan,20,1.0294991117298893,19.0,0.8802578038106738,0.14924130791921553,0.1449649700701948
1747,MI HOKKIEN,sepinggan,1,,1.0,,,
1748,KON LOH MI (KICAP),sepinggan,4,2.174664725116648,2.0,0.3535533905932738,1.8211113345233743,0.8374216556189785
1749,WAN TAN MI,semangkuk,10,0.8871928263411009,8.0,0.5903993805649094,0.2967934457761915,0.334530935062005
1750,MI UDANG,semangkuk,14,1.3688047244316386,13.0,1.0299987552892653,0.33880596914237326,0.2475195790130355
1751,MI KARI,semangkuk,38,1.1649211354328213,35.0,1.0344892784494633,0.13043185698335802,0.11196625506746999
1752,DAGING KAMBING MASAK KARI,sepiring,6,2.4983327774070982,4.0,1.181453906563152,1.3168788708439463,0.5271030675948113
1753,PAK CHOY SOS TIRAM,sepiring,10,1.6124515496597098,10.0,1.6124515496597098,0.0,0.0
1754,SAYUR TAUGEH,sepiring,65,2.038909965190676,62.0,1.5595054064153848,0.4794045587752913,0.23512787075443914
1757,IKAN SIAKAP GORENG (SAIZ SEDERHANA),1 ekor,27,10.09283828342576,23.0,6.754298879949257,3.338539403476503,0.33078300768565566
1758,IKAN SIAKAP MASAM MANIS (SAIZ SEDERHANA),1 ekor,31,6.898184270991834,30.0,6.279322022119208,0.6188622488726256,0.089713789101729
1759,IKAN SIAKAP TIGA RASA (SAIZ SEDERHANA),1 ekor,30,7.0502302888938875,28.0,6.178452915033054,0.8717773738608336,0.12365232597212183
1760,IKAN SIAKAP KUKUS/STIM (SAIZ SEDERHANA),1 ekor,26,7.002966404427375,25.0,6.186813935028811,0.8161524693985642,0.11654382189847164
1761,IKAN KERAPU GORENG (SAIZ SEDERHANA),1 ekor,1,,1.0,,,
1762,IKAN KERAPU MASAM MANIS (SAIZ SEDERHANA),1 ekor,1,,1.0,,,
1765,IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA),1 ekor,7,4.18045338165497,6.0,4.119061381755153,0.061391999899816696,0.014685488461424406
1766,IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA),1 ekor,6,5.75325994545701,5.0,3.7815340802378077,1.9717258652192027,0.3427145451295228
1767,IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA),1 ekor,6,5.609515724790034,4.0,3.7859388972001824,1.8235768275898518,0.3250863206481356
1768,IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA),1 ekor,3,7.0,1.0,,,
1769,IKAN BAWAL PUTIH GORENG (SAIZ SEDERHANA),1 ekor,2,9.899494936611665,,,,
1770,IKAN BAWAL PUTIH MASAM MANIS (SAIZ SEDERHANA),1 ekor,1,,1.0,,,
1771,IKAN BAWAL PUTIH KUKUS/STIM (SAIZ SEDERHANA),1 ekor,1,,1.0,,,
1772,IKAN KEMBUNG GORENG (SAIZ SEDERHANA),1 ekor,90,1.8496012999533207,80.0,1.2307865139974417,0.618814785955879,0.33456658252321536
