item_code,item,unit,item_group,item_category,2022-01-05
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.508230452674897
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.686315789473685
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.1845238095238093
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.6051724137931034
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.469526627218935
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.1533950617283955
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.3960317460317455
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.727659574468085
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,6.727083333333333
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.634751773049645
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.078070175438596
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.3221428571428575
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.577611940298508
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.561165048543689
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.298913043478261
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.090526315789473
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.524475524475524
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.7370370370370365
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.2558823529411764
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.633620689655173
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.389622641509433
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.516867469879518
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.816883116883116
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.4216931216931212
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.829142857142857
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.7171779141104295
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,3.8421052631578947
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.671428571428572
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.145217391304349
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,5.786764705882353
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,5.880263157894737
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.709090909090909
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.25
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.64
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.684782608695652
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,7.163636363636364
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.92741935483871
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.03125
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,7.0875
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,3.776712328767123
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.796774193548387
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,4.301010101010101
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.1125
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.5537313432835822
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,5.890625
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.1326530612244898
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.096875
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.8967479674796746
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.605035971223022
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.403968253968253
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,10.357142857142858
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.619277108433734
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.478
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,6.175652173913043
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.628971962616822
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.475581395348837
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.3012345679012345
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.017241379310345
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.437383177570093
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.1274193548387097
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.44482758620689655
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.44799999999999995
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.2444444444444445
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.2333333333333334
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.3
