item_code,item,unit,item_group,item_category,2022-02-09,2022-02-10
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.5290076335877862,2.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.75,6.0
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.1953488372093024,2.5
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.6896825396825395,
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.529329608938547,
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.285112359550562,
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.480597014925373,
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.794117647058823,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,6.905555555555555,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.765408805031447,
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.162015503875969,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.385714285714285,
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.65328947368421,
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.630973451327433,
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.36826923076923,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.146296296296295,
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.619496855345912,7.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.77909604519774,6.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.315044247787611,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.724806201550388,
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.467543859649123,
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.536559139784946,
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.934117647058823,
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.3934343434343432,3.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.731720430107527,
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.6922155688622755,
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,3.6796875,
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.486915887850468,
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.13046875,
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,5.885135135135135,
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,5.932530120481927,
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.5855263157894735,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.2105263157894735,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.611111111111111,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.77,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,7.0,
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.823943661971831,
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.037735849056604,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.92,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,3.941721854304636,
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.855238095238096,
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,4.289090909090909,
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.1166666666666667,
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.5742009132420092,2.0
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,5.966666666666667,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.125233644859813,
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.0978260869565217,
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.8608695652173914,
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.704545454545454,7.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.455395683453237,7.0
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,10.406976744186046,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.471276595744681,9.0
