item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.5292181069958848,1.6,1.25
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.786516853932584,5.0,5.0
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.307042253521127,1.6666666666666667,
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.7513274336283184,2.0,2.5
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.591717791411043,6.25,5.5
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.312111801242236,6.375,5.25
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.503478260869565,6.25,5.25
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.744186046511628,7.0,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,7.112820512820512,,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.739455782312925,5.5,5.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.1700854700854695,7.5,6.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.365492957746478,5.5,5.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.797959183673469,6.5,5.0
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.583809523809523,5.5,5.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.384536082474226,,6.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.225773195876288,7.6,11.0
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.691275167785235,6.0,6.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.977124183006536,5.0,5.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.380188679245283,6.5,6.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.718487394957983,8.0,6.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.4904761904761905,6.5,6.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.551764705882353,6.5,6.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.96625,6.5,6.5
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.422950819672131,3.625,3.5
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.7374269005847953,4.0,3.75
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.698701298701299,3.6666666666666665,3.75
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,3.7542372881355934,3.5,
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.432631578947369,,6.0
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.228205128205128,5.0,5.0
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,5.893939393939394,,
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,5.9301369863013695,,6.0
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.485074626865671,7.0,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.304347826086956,7.0,7.0
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.663265306122449,7.0,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.8478260869565215,7.0,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,7.169491525423729,7.0,
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.865079365079365,6.0,7.0
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.095744680851064,7.0,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.965116279069767,7.0,7.0
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,3.8836601307189547,3.0,3.0
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,5.026136363636364,6.0,
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,4.396116504854369,6.0,3.0
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.1214285714285714,1.1400000000000001,1.0
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.5826633165829145,1.625,1.75
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,6.035714285714286,6.0,6.0
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.121875,1.0,1.2
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.110236220472441,1.0,1.0
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.9438461538461538,1.8,1.75
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.75,7.0,6.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.506106870229007,8.0,5.5
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,10.5,10.0,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.673626373626373,9.0,
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.644954128440366,9.0,8.0
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,6.278512396694215,7.0,6.0
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.698095238095238,8.0,6.0
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.597674418604651,9.0,7.0
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.517073170731707,9.0,7.0
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,4.951754385964913,5.0,5.0
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.4155339805825236,6.5,6.0
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.1453125,2.0,
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.44400000000000006,0.5,
