item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12,2022-05-14,2022-05-17
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.5319047619047619,1.75,1.75,2.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.869047619047619,,7.0,6.5
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.1806451612903226,,2.5,2.5
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.805769230769231,,2.5,2.5
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.536785714285714,,6.75,6.5
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.32781690140845,,6.75,6.5
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.614814814814815,,7.0,6.5
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.221621621621622,,6.0,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,7.273684210526315,,6.0,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.8359375,6.5,7.25,
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.194,7.75,7.75,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.576106194690266,5.75,7.0,
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.98595041322314,6.5,8.5,
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.687356321839081,5.25,7.0,
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.4111111111111105,8.75,8.5,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.482558139534884,9.5,9.0,
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.681102362204724,7.5,7.75,
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.141666666666667,4.75,6.5,2.5
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.372727272727272,5.5,,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.85,6.0,8.0,
